School_Name,Address_Line_1,Address_Town,Postal_Postcode,Full_Phone_No,School URL,ICSEA,School_Type,Campus Type,LGA_Name,Suburb,Education_Sector,School Type,Year Range,Geolocation,Total Enrolments,Girls Enrolments,Boys Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%)
Peter Lalor Secondary College,2 Robert Street,Lalor,3076.0,03 9464 0122,http://www.peterlalor.vic.edu.au/,943.0,Secondary,School Single Entity,Whittlesea (C),Lalor,Government,Secondary,10-12,Major Cities,110.0,52.0,58.0,10.0,32.0
Lilydale Heights College,17-19 Nelson Road,Lilydale,3140.0,03 9735 1133,http://www.lilydaleheights.vic.edu.au,997.0,Secondary,School Single Entity,Yarra Ranges (S),Lilydale,Government,Secondary,7-12,Major Cities,788.0,386.0,402.0,2.0,5.0
Staughton College,Wilson Road,Melton South,3338.0,03 9743 4622,http://www.staughtoncollege.vic.edu.au,963.0,Secondary,School Single Entity,Melton (C),Melton South,Government,Secondary,7-12,Major Cities,1441.0,753.0,688.0,3.0,45.0
Chaffey Secondary College,261-289 Deakin Avenue,Mildura,3502.0,03 5023 0538,http://www.chaffeysc.vic.edu.au,875.0,Secondary,School Single Entity,Mildura (RC),Mildura,Government,Secondary,7-10,Outer Regional,716.0,373.0,343.0,28.0,23.0
Bentleigh Secondary College,4 Vivien St,Bentleigh East,3165.0,03 9579 1044,http://www.bentleighsc.vic.edu.au,1072.0,Secondary,School Single Entity,Glen Eira (C),Bentleigh East,Government,Secondary,7-12,Major Cities,917.0,405.0,512.0,1.0,32.0
Mount Clear College,59 Olympic Avenue,Mount Clear,3350.0,03 5330 1500,http://www.mtclearsc.vic.edu.au,999.0,Secondary,School Head Campus,Ballarat (C),Mount Clear,Government,Secondary,7-12,Inner Regional,1036.0,511.0,525.0,3.0,6.0
Rosehill Secondary College,33 Sapphire Street,Niddrie,3042.0,03 9337 2488,http://www.rosehillsc.vic.edu.au,1025.0,Secondary,School Single Entity,Moonee Valley (C),Niddrie,Government,Secondary,7-12,Major Cities,1103.0,506.0,597.0,1.0,39.0
Northern College of the Arts and Technology,62 Murray Road,Preston,3072.0,03 9478 1333,http://www.ncat.vic.edu.au,1045.0,Secondary,School Single Entity,Darebin (C),Preston,Government,Secondary,10-12,Major Cities,358.0,186.0,172.0,2.0,16.0
Swinburne Senior Secondary College,505 Burwood Road,Hawthorn,3122.0,03 8862 4400,http://www.sssc.vic.edu.au/,1094.0,Secondary,School Head Campus,Boroondara (C),Hawthorn,Government,Secondary,11-12,Major Cities,386.0,270.0,116.0,1.0,12.0
Victorian College Of The Arts Secondary School,57 Miles Street,Southbank,3006.0,03 8644 8644,http://www.vcass.vic.edu.au,1140.0,Secondary,School Single Entity,Melbourne (C),Southbank,Government,Secondary,7-12,Major Cities,353.0,231.0,122.0,0.0,33.0
Brauer Secondary College,Caramut Road,Warrnambool,3280.0,03 5560 3888,http://www.brauer.vic.edu.au/,985.0,Secondary,School Head Campus,Warrnambool (C),Warrnambool,Government,Secondary,7-12,Inner Regional,821.0,385.0,436.0,4.0,6.0
Wyndham Central Secondary College,101 Shaws Road,Werribee,3030.0,03 8744 8900,http://www.wyndhamcentralsc.vic.edu.au,927.0,Secondary,School Single Entity,Wyndham (C),Werribee,Government,Secondary,7-12,Major Cities,1394.0,717.0,677.0,4.0,43.0
